id,title,company,location,salary,description
NAU_325254,Dc Ops L1 - Bangalore - F2F Interview,Naukri Listed Company,Bengaluru,Not Disclosed by Recruiter,"Dc Ops L1 - Bangalore - F2F Interview Programming & Design DC Ops|Data Center|Data Center Operations|International Call Center|TECHNICAL SUPPORT|International Voice Process|International Voice|us voice|us bpo|Voice|international bpo|voice process|inbound|Service Desk|Cold Calling|us|uk|noc|NOC Engineer IT Software - Application Programming , Maintenance IT-Software / Software Services  1 - 4 Years"
NAU_305088, Hiring For Swiggy For Social Media Profile Sal upto 5lkh,Naukri Listed Company,Bengaluru," 1,25,000 - 5,00,000 PA. "," Hiring For Swiggy For Social Media Profile Sal upto 5lkh Voice  bpo| Inbound Process| customer service executive| mnc| csr| international bpo| customer service| customer care| outbound process| international voice| international voice process| calling| international call center| communication skills ITES , BPO , KPO , LPO , Customer Service , Operations BPO, Call Centre, ITeS 1 - 5 yrs"
NAU_307084, Customer Support Executive / Call Center / BPO / Voice Process,Naukri Listed Company,Bengaluru," 2,25,000 - 4,50,000 PA. "," Customer Support Executive / Call Center / BPO / Voice Process Voice  bpo| csr| customer relationship| technical support engineer| inbound| customer service| customer care| call center| customer support| tsr| outbound| client relationship| technical service| customer support officer ITES , BPO , KPO , LPO , Customer Service , Operations BPO, Call Centre, ITeS 0 - 4 yrs"
NAU_529416, Senior Site Reliability Engineer,Naukri Listed Company,Mumbai, Not Disclosed by Recruiter ," Senior Site Reliability Engineer Programming & Design  GIT| Reliability Engineering| Linux Server| Shell Scripting| Ansible| Hadoop| Big Data| Bash| Centos| SQL| Python IT Software - Network Administration , Security KPO, Research, Analytics 7 - 12 yrs"
NAU_372039, Join With A Hike In International Inbound Tech (US Shift),Naukri Listed Company,Kolkata, Not Disclosed by Recruiter ," Join With A Hike In International Inbound Tech (US Shift) Voice  Outbound| Customer service| Technical support| Sales| Technical| Inbound calls| US shift| Inbound voice process| Antivirus| Comp ITES , BPO , KPO , LPO , Customer Service , Operations IT-Software, Software Services 0 - 3 yrs"
NAU_927922, Mobile App Developer,Naukri Listed Company,Hyderabad," 7,00,000 - 15,00,000 PA. "," Mobile App Developer Programming & Design  Rest| Xamarin| Mobile Applications| Software Development Methodologies| SOA| IOS| XCode| SOAP| Mobile Application Development| Android IT Software - Application Programming , Maintenance IT-Software, Software Services 6 - 8 yrs"
NAU_954477, Voice Surveillance,Naukri Listed Company,Mumbai, Not Disclosed by Recruiter ," Voice Surveillance Voice  investment banking| equity research| fixed income| monitoring| regulations| compliance officer| interpersonal skills| communication skills| manager ITES , BPO , KPO , LPO , Customer Service , Operations Recruitment, Staffing 1 - 6 yrs"
NAU_598998,Key Developer Sales/super Strategic Accounts,Naukri Listed Company, Pune," INR 10,00,000 - 14,00,000 PA.","Key Developer Sales/super Strategic Accounts Retail Sales Sales Process|Revenue Generation|Cold Calling|Target Achievement|Client Relationship Management|client management Sales , Retail , Business Development Internet / Ecommerce  6 - 10 Years"
NAU_233251, Drupal Developer (Immediate joiners preferred),Naukri Listed Company,Mumbai, Not Disclosed by Recruiter ," Drupal Developer (Immediate joiners preferred) Programming & Design  Drupal| Javascript| PHP| Content management| css| solid| administration| CMS| developing| HTML| CSS3| jQuery| ui| application| web| developer| api| Open source| Ajax| architecture| applications IT Software - Application Programming , Maintenance IT-Software, Software Services 1 - 6 yrs"
NAU_677687, Principal Software Engineer,Naukri Listed Company,Bengaluru, Not Disclosed by Recruiter ," Principal Software Engineer Programming & Design  Java| QE| SDET| Automation Framework| Automation Testing| Selenium| SDLC Testing| Testing IT Software - QA & Testing IT-Software, Software Services 9 - 12 yrs"
