id,title,company,location,salary,description
IND1,Data Scientist,Paytm,Remote,₹13LPA,"We are hiring a Data Scientist at Paytm. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Remote."
IND2,DevOps Engineer,Wipro,Pune,₹28LPA,"We are hiring a DevOps Engineer at Wipro. The candidate must have strong experience in Java, Spring Boot, Microservices, MySQL. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Pune."
IND3,DevOps Engineer,Zoho,Hyderabad,₹20LPA,"We are hiring a DevOps Engineer at Zoho. The candidate must have strong experience in Python, Django, PostgreSQL, AWS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Hyderabad."
IND4,Machine Learning Engineer,Ola,Pune,₹11LPA,"We are hiring a Machine Learning Engineer at Ola. The candidate must have strong experience in C++, Data Structures, Algorithms, Linux. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Pune."
IND5,Product Manager,Paytm,Noida,₹15LPA,"We are hiring a Product Manager at Paytm. The candidate must have strong experience in Java, Spring Boot, Microservices, MySQL. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Noida."
IND6,Data Scientist,Freshworks,Gurugram,₹14LPA,"We are hiring a Data Scientist at Freshworks. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Gurugram."
IND7,Product Manager,Wipro,Hyderabad,₹16LPA,"We are hiring a Product Manager at Wipro. The candidate must have strong experience in Python, Django, PostgreSQL, AWS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Hyderabad."
IND8,Software Engineer,Wipro,Gurugram,₹16LPA,"We are hiring a Software Engineer at Wipro. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Gurugram."
IND9,Frontend Developer,Paytm,Chennai,₹25LPA,"We are hiring a Frontend Developer at Paytm. The candidate must have strong experience in Java, Spring Boot, Microservices, MySQL. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Chennai."
IND10,Product Manager,Zoho,Noida,₹8LPA,"We are hiring a Product Manager at Zoho. The candidate must have strong experience in React, Node.js, Express, MongoDB. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Noida."
IND11,DevOps Engineer,Zoho,Mumbai,₹11LPA,"We are hiring a DevOps Engineer at Zoho. The candidate must have strong experience in React, Node.js, Express, MongoDB. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Mumbai."
IND12,DevOps Engineer,TCS,Chennai,₹6LPA,"We are hiring a DevOps Engineer at TCS. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Chennai."
IND13,Product Manager,Freshworks,Gurugram,₹27LPA,"We are hiring a Product Manager at Freshworks. The candidate must have strong experience in Java, Spring Boot, Microservices, MySQL. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Gurugram."
IND14,DevOps Engineer,Zomato,Mumbai,₹17LPA,"We are hiring a DevOps Engineer at Zomato. The candidate must have strong experience in C++, Data Structures, Algorithms, Linux. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Mumbai."
IND15,Data Scientist,HCL,Hyderabad,₹26LPA,"We are hiring a Data Scientist at HCL. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Hyderabad."
IND16,Data Scientist,Zomato,Hyderabad,₹14LPA,"We are hiring a Data Scientist at Zomato. The candidate must have strong experience in React, Node.js, Express, MongoDB. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Hyderabad."
IND17,DevOps Engineer,Ola,Remote,₹13LPA,"We are hiring a DevOps Engineer at Ola. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Remote."
IND18,DevOps Engineer,Swiggy,Chennai,₹8LPA,"We are hiring a DevOps Engineer at Swiggy. The candidate must have strong experience in C++, Data Structures, Algorithms, Linux. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Chennai."
IND19,DevOps Engineer,Tech Mahindra,Bangalore,₹28LPA,"We are hiring a DevOps Engineer at Tech Mahindra. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Bangalore."
IND20,Data Scientist,Wipro,Hyderabad,₹18LPA,"We are hiring a Data Scientist at Wipro. The candidate must have strong experience in Python, Django, PostgreSQL, AWS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Hyderabad."
IND21,Frontend Developer,Zomato,Gurugram,₹26LPA,"We are hiring a Frontend Developer at Zomato. The candidate must have strong experience in Python, TensorFlow, PyTorch, Scikit-learn. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Gurugram."
IND22,Frontend Developer,HCL,Pune,₹23LPA,"We are hiring a Frontend Developer at HCL. The candidate must have strong experience in Python, TensorFlow, PyTorch, Scikit-learn. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Pune."
IND23,Backend Developer,Zoho,Mumbai,₹25LPA,"We are hiring a Backend Developer at Zoho. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Mumbai."
IND24,Machine Learning Engineer,Wipro,Chennai,₹27LPA,"We are hiring a Machine Learning Engineer at Wipro. The candidate must have strong experience in React, Node.js, Express, MongoDB. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Chennai."
IND25,Product Manager,Ola,Pune,₹5LPA,"We are hiring a Product Manager at Ola. The candidate must have strong experience in Python, Django, PostgreSQL, AWS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Pune."
IND26,Product Manager,Wipro,Noida,₹14LPA,"We are hiring a Product Manager at Wipro. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Noida."
IND27,Data Scientist,Wipro,Noida,₹6LPA,"We are hiring a Data Scientist at Wipro. The candidate must have strong experience in Java, Spring Boot, Microservices, MySQL. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Noida."
IND28,Product Manager,HCL,Pune,₹9LPA,"We are hiring a Product Manager at HCL. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Pune."
IND29,Frontend Developer,Tech Mahindra,Hyderabad,₹10LPA,"We are hiring a Frontend Developer at Tech Mahindra. The candidate must have strong experience in Docker, Kubernetes, Terraform, AWS CI/CD. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Hyderabad."
IND30,Product Manager,Zomato,Bangalore,₹13LPA,"We are hiring a Product Manager at Zomato. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Bangalore."
IND31,Machine Learning Engineer,Wipro,Noida,₹14LPA,"We are hiring a Machine Learning Engineer at Wipro. The candidate must have strong experience in React, Node.js, Express, MongoDB. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Noida."
IND32,Data Scientist,Wipro,Bangalore,₹28LPA,"We are hiring a Data Scientist at Wipro. The candidate must have strong experience in C++, Data Structures, Algorithms, Linux. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Bangalore."
IND33,Frontend Developer,Wipro,Remote,₹23LPA,"We are hiring a Frontend Developer at Wipro. The candidate must have strong experience in Python, Django, PostgreSQL, AWS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Remote."
IND34,Data Scientist,Tech Mahindra,Noida,₹28LPA,"We are hiring a Data Scientist at Tech Mahindra. The candidate must have strong experience in Docker, Kubernetes, Terraform, AWS CI/CD. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Noida."
IND35,Product Manager,Paytm,Mumbai,₹28LPA,"We are hiring a Product Manager at Paytm. The candidate must have strong experience in Python, Django, PostgreSQL, AWS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Mumbai."
IND36,Backend Developer,HCL,Mumbai,₹26LPA,"We are hiring a Backend Developer at HCL. The candidate must have strong experience in Python, Django, PostgreSQL, AWS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Mumbai."
IND37,Backend Developer,Wipro,Hyderabad,₹7LPA,"We are hiring a Backend Developer at Wipro. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Hyderabad."
IND38,Product Manager,HCL,Gurugram,₹25LPA,"We are hiring a Product Manager at HCL. The candidate must have strong experience in React, Node.js, Express, MongoDB. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Gurugram."
IND39,Machine Learning Engineer,TCS,Pune,₹22LPA,"We are hiring a Machine Learning Engineer at TCS. The candidate must have strong experience in React, Node.js, Express, MongoDB. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Pune."
IND40,Backend Developer,Tech Mahindra,Bangalore,₹20LPA,"We are hiring a Backend Developer at Tech Mahindra. The candidate must have strong experience in React, Node.js, Express, MongoDB. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Bangalore."
IND41,Product Manager,Zomato,Bangalore,₹24LPA,"We are hiring a Product Manager at Zomato. The candidate must have strong experience in C++, Data Structures, Algorithms, Linux. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Bangalore."
IND42,Machine Learning Engineer,Paytm,Mumbai,₹25LPA,"We are hiring a Machine Learning Engineer at Paytm. The candidate must have strong experience in Python, TensorFlow, PyTorch, Scikit-learn. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Mumbai."
IND43,DevOps Engineer,Tech Mahindra,Mumbai,₹8LPA,"We are hiring a DevOps Engineer at Tech Mahindra. The candidate must have strong experience in C++, Data Structures, Algorithms, Linux. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Mumbai."
IND44,Product Manager,HCL,Mumbai,₹5LPA,"We are hiring a Product Manager at HCL. The candidate must have strong experience in React, Node.js, Express, MongoDB. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Mumbai."
IND45,Backend Developer,Zomato,Chennai,₹28LPA,"We are hiring a Backend Developer at Zomato. The candidate must have strong experience in C++, Data Structures, Algorithms, Linux. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Chennai."
IND46,Machine Learning Engineer,Zomato,Pune,₹20LPA,"We are hiring a Machine Learning Engineer at Zomato. The candidate must have strong experience in Docker, Kubernetes, Terraform, AWS CI/CD. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Pune."
IND47,DevOps Engineer,Infosys,Bangalore,₹24LPA,"We are hiring a DevOps Engineer at Infosys. The candidate must have strong experience in React, Node.js, Express, MongoDB. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Bangalore."
IND48,Data Scientist,Wipro,Mumbai,₹18LPA,"We are hiring a Data Scientist at Wipro. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Mumbai."
IND49,Machine Learning Engineer,Zomato,Noida,₹9LPA,"We are hiring a Machine Learning Engineer at Zomato. The candidate must have strong experience in Python, Django, PostgreSQL, AWS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Noida."
IND50,Product Manager,Wipro,Remote,₹11LPA,"We are hiring a Product Manager at Wipro. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Remote."
IND51,Frontend Developer,Infosys,Gurugram,₹13LPA,"We are hiring a Frontend Developer at Infosys. The candidate must have strong experience in Python, TensorFlow, PyTorch, Scikit-learn. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Gurugram."
IND52,Frontend Developer,TCS,Chennai,₹30LPA,"We are hiring a Frontend Developer at TCS. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Chennai."
IND53,Product Manager,Freshworks,Chennai,₹11LPA,"We are hiring a Product Manager at Freshworks. The candidate must have strong experience in Python, TensorFlow, PyTorch, Scikit-learn. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Chennai."
IND54,Data Scientist,Paytm,Noida,₹18LPA,"We are hiring a Data Scientist at Paytm. The candidate must have strong experience in Docker, Kubernetes, Terraform, AWS CI/CD. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Noida."
IND55,Machine Learning Engineer,TCS,Gurugram,₹16LPA,"We are hiring a Machine Learning Engineer at TCS. The candidate must have strong experience in Java, Spring Boot, Microservices, MySQL. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Gurugram."
IND56,DevOps Engineer,Zomato,Mumbai,₹9LPA,"We are hiring a DevOps Engineer at Zomato. The candidate must have strong experience in React, Node.js, Express, MongoDB. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Mumbai."
IND57,Frontend Developer,Swiggy,Chennai,₹17LPA,"We are hiring a Frontend Developer at Swiggy. The candidate must have strong experience in Java, Spring Boot, Microservices, MySQL. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Chennai."
IND58,Frontend Developer,Freshworks,Remote,₹19LPA,"We are hiring a Frontend Developer at Freshworks. The candidate must have strong experience in Python, Django, PostgreSQL, AWS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Remote."
IND59,Backend Developer,Freshworks,Chennai,₹28LPA,"We are hiring a Backend Developer at Freshworks. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Chennai."
IND60,Data Scientist,Swiggy,Gurugram,₹9LPA,"We are hiring a Data Scientist at Swiggy. The candidate must have strong experience in Java, Spring Boot, Microservices, MySQL. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Gurugram."
IND61,Data Scientist,Tech Mahindra,Bangalore,₹9LPA,"We are hiring a Data Scientist at Tech Mahindra. The candidate must have strong experience in C++, Data Structures, Algorithms, Linux. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Bangalore."
IND62,DevOps Engineer,Tech Mahindra,Noida,₹14LPA,"We are hiring a DevOps Engineer at Tech Mahindra. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Noida."
IND63,DevOps Engineer,Zoho,Gurugram,₹17LPA,"We are hiring a DevOps Engineer at Zoho. The candidate must have strong experience in Java, Spring Boot, Microservices, MySQL. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Gurugram."
IND64,DevOps Engineer,Zomato,Mumbai,₹23LPA,"We are hiring a DevOps Engineer at Zomato. The candidate must have strong experience in Python, TensorFlow, PyTorch, Scikit-learn. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Mumbai."
IND65,DevOps Engineer,TCS,Hyderabad,₹22LPA,"We are hiring a DevOps Engineer at TCS. The candidate must have strong experience in C++, Data Structures, Algorithms, Linux. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Hyderabad."
IND66,Machine Learning Engineer,Ola,Hyderabad,₹11LPA,"We are hiring a Machine Learning Engineer at Ola. The candidate must have strong experience in Docker, Kubernetes, Terraform, AWS CI/CD. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Hyderabad."
IND67,Software Engineer,Ola,Hyderabad,₹6LPA,"We are hiring a Software Engineer at Ola. The candidate must have strong experience in Java, Spring Boot, Microservices, MySQL. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Hyderabad."
IND68,Software Engineer,Flipkart,Gurugram,₹6LPA,"We are hiring a Software Engineer at Flipkart. The candidate must have strong experience in Docker, Kubernetes, Terraform, AWS CI/CD. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Gurugram."
IND69,Frontend Developer,Paytm,Mumbai,₹16LPA,"We are hiring a Frontend Developer at Paytm. The candidate must have strong experience in Python, TensorFlow, PyTorch, Scikit-learn. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Mumbai."
IND70,Backend Developer,Zomato,Pune,₹9LPA,"We are hiring a Backend Developer at Zomato. The candidate must have strong experience in C++, Data Structures, Algorithms, Linux. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Pune."
IND71,Data Scientist,Tech Mahindra,Gurugram,₹6LPA,"We are hiring a Data Scientist at Tech Mahindra. The candidate must have strong experience in React, Node.js, Express, MongoDB. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Gurugram."
IND72,Backend Developer,TCS,Hyderabad,₹7LPA,"We are hiring a Backend Developer at TCS. The candidate must have strong experience in Angular, TypeScript, HTML, CSS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Hyderabad."
IND73,DevOps Engineer,HCL,Chennai,₹14LPA,"We are hiring a DevOps Engineer at HCL. The candidate must have strong experience in React, Node.js, Express, MongoDB. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Chennai."
IND74,Product Manager,TCS,Mumbai,₹28LPA,"We are hiring a Product Manager at TCS. The candidate must have strong experience in Docker, Kubernetes, Terraform, AWS CI/CD. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Mumbai."
IND75,Backend Developer,Zomato,Bangalore,₹21LPA,"We are hiring a Backend Developer at Zomato. The candidate must have strong experience in Python, TensorFlow, PyTorch, Scikit-learn. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Bangalore."
IND76,Software Engineer,Infosys,Mumbai,₹10LPA,"We are hiring a Software Engineer at Infosys. The candidate must have strong experience in Docker, Kubernetes, Terraform, AWS CI/CD. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Mumbai."
IND77,Backend Developer,Swiggy,Noida,₹27LPA,"We are hiring a Backend Developer at Swiggy. The candidate must have strong experience in Python, Django, PostgreSQL, AWS. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Noida."
IND78,Backend Developer,HCL,Noida,₹21LPA,"We are hiring a Backend Developer at HCL. The candidate must have strong experience in Python, TensorFlow, PyTorch, Scikit-learn. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Noida."
IND79,Backend Developer,Wipro,Hyderabad,₹30LPA,"We are hiring a Backend Developer at Wipro. The candidate must have strong experience in C++, Data Structures, Algorithms, Linux. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Hyderabad."
IND80,DevOps Engineer,Wipro,Gurugram,₹30LPA,"We are hiring a DevOps Engineer at Wipro. The candidate must have strong experience in Docker, Kubernetes, Terraform, AWS CI/CD. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Gurugram."
IND81,Frontend Developer,Wipro,Chennai,₹5LPA,"We are hiring a Frontend Developer at Wipro. The candidate must have strong experience in Java, Spring Boot, Microservices, MySQL. Responsibilities include building scalable systems, working in Agile, and strong communication skills. Location: Chennai."
